Merkki,Vuosi,Ajettu,Hinta,Date
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8)|2011|127 650|16 200 €|00-0000,2011,127 650,16 200 €,00-0000
"Lexus CT (1.8) 200h Hybrid A Executive - Rahoitus 1.89% jopa ilman käsirahaa! Nahat, Navi, Xenon, Kamera|2011|156 000|13 800 €|06-2021",2011,156 000,13 800 €,06-2021
Lexus CT (1.8)|2011|158 316|12 000 €|06-2021,2011,158 316,12 000 €,06-2021
Lexus CT (1.8) 200h Hybrid A Comfort // Alcantara-penkit / LED-ajovalot / Aux & Bluetooth //|2011|90 500|14 350 €|07-2021,2011,90 500,14 350 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort ** Suomi-auto **|2011|185 000|11 590 €|06-2021,2011,185 000,11 590 €,06-2021
"Lexus CT (1.8) 200h Hybrid A Luxury *Rahoitus 0,86% + kulut Huoltorahalla / Nahat / Navi*|2011|123 000|13 400 €|06-2021",2011,123 000,13 400 €,06-2021
Lexus CT (1.8) 200h Hybrid A Executive ** Suomi-auto / Alcantara / Bluetooth / P. kamera / Juuri tullut **|2011|140 000|13 490 €|07-2021,2011,140 000,13 490 €,07-2021
"Lexus CT (1.8) 200h Hybrid A Executive - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - *Navi- j|2011|189 581|11 990 €|07-2021",2011,189 581,11 990 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort ** Peruutuskamera / Vakionopeudensäädin / Lohkoläm. / Veluuriverhoilu / Suomi-auto **|2011|199 000|10 900 €|07-2021,2011,199 000,10 900 €,07-2021
Lexus CT (1.8) 200h Hybrid A Luxury *VARATTU*|2011|164 000|13 350 €|07-2021,2011,164 000,13 350 €,07-2021
"Lexus CT (1.8) 200h Hybrid A Comfort Suomi-auto / 2-om / merkkiliikkeen huollot *** 6kk korotonta!, J. kotiintoimit|2011|116 000|13 200 €|09-2021",2011,116 000,13 200 €,09-2021
Lexus CT (1.8) Lexus ct200h|2011|134 700|11 990 €|08-2021,2011,134 700,11 990 €,08-2021
Lexus CT (1.8) 200h Hybrid A Executive   Lohkolämmitin / Xenon / P.kamera / Smart Key / Suomiauto|2011|152 000|12 990 €|07-2021,2011,152 000,12 990 €,07-2021
Lexus CT (1.8) 200h Hybrid A Executive|2011|176 000|12 100 €|09-2021,2011,176 000,12 100 €,09-2021
Lexus CT (1.8) 200h HYBRID CVT AUT *EXECUTIVE* HUOLTOKIRJA*|2011|118 000|12 990 €|08-2021,2011,118 000,12 990 €,08-2021
Lexus CT (1.8) 200h Hybrid A Luxury / Navi / Webasto|2011|189 000|11 500 €|08-2021,2011,189 000,11 500 €,08-2021
Lexus CT (1.8) 200h Hybrid A Luxury ** Suomi-auto / Adapt.vakkari / Mark Levinson / Nahat / P-kamera / Muistipenkki **|2011|191 000|11 890 €|08-2021,2011,191 000,11 890 €,08-2021
Lexus CT (1.8) Hybrid A Luxury|2011|134 000|13 490 €|09-2021,2011,134 000,13 490 €,09-2021
Lexus CT (1.8) 200h #Hybrid #Keyless #Vakkari #P-Kamera #Xenon #Nahat|2011|142 000|13 580 €|11-2021,2011,142 000,13 580 €,11-2021
"Lexus CT (1.8) 200h Hybrid A Executive  Navi, Nahat, Mark Levinson, Xenon, Kamera, Tutkat, Keyless, Lohko ja sisäp.|2011|181 000|12 800 €|09-2021",2011,181 000,12 800 €,09-2021
Lexus CT (1.8) 200h Hybrid A Comfort *Suomi-auto / 1.om / Merkkiliikkeen huoltokirja / Juuri huollettu* *** J. koti|2011|89 000|15 880 €|10-2021,2011,89 000,15 880 €,10-2021
Lexus CT (1.8) 200h Hybrid A Executive / Peruutuskamera / Vakkari / Autom. Ilmastointi|2011|115 000|13 700 €|10-2021,2011,115 000,13 700 €,10-2021
Lexus CT (1.8)|2011|152 000|14 900 €|09-2021,2011,152 000,14 900 €,09-2021
Lexus CT (1.8) 200h Hybrid A Executive - Juuri huollettu // Nahkapenkit // 1-omistaja!|2011|59 000|17 490 €|11-2021,2011,59 000,17 490 €,11-2021
Lexus CT (1.8) 200 200h Hybrid A Comfort|2011|110 000|14 800 €|10-2021,2011,110 000,14 800 €,10-2021
Lexus CT (1.8) 200h Hybrid A Executive - P.Kamera / Lohkolämmitin / Bluetooth|2011|176 000|12 870 €|09-2021,2011,176 000,12 870 €,09-2021
Lexus CT (1.8) 200h Hybrid A Executive / NAHKAVERHOILU / DIGIMITTARISTO / KEYLESS / NAVI / KAMERA / BT AUDIO / LOHKO+SISÄPISTOKE /|2011|163 000|13 400 €|09-2021,2011,163 000,13 400 €,09-2021
Lexus CT (1.8)|2011|164 000|13 500 €|10-2021,2011,164 000,13 500 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort ** Cruise / Peruutuskamera / Lohkolämmitin & sisäpistoke **|2011|115 000|13 900 €|10-2021,2011,115 000,13 900 €,10-2021
Lexus CT (1.8)|2011|173 000|12 500 €|10-2021,2011,173 000,12 500 €,10-2021
Lexus CT (1.8) 200H Hybrid Executive / Nahat / Navigointi / Hyvällä huoltohistorialla|2011|180 000|12 890 €|10-2021,2011,180 000,12 890 €,10-2021
"Lexus CT (1.8) 200h Hybrid A Executive - ** RAHOITUSKORKO 1,49% ** - Suomi-auto / Navi / P.Kamera / Cruise / Xenon|2011|165 000|13 590 €|10-2021",2011,165 000,13 590 €,10-2021
Lexus CT (1.8) 200h Hybrid A Executive // Mark Levingston // Nahat // Navi// Huollettu|2011|222 280|11 300 €|10-2021,2011,222 280,11 300 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort ** LED / Kamera / Cruise / Suomi-auto **|2011|288 000|10 390 €|11-2021,2011,288 000,10 390 €,11-2021
Lexus CT (1.8)|2011|190 000|11 900 €|11-2021,2011,190 000,11 900 €,11-2021
Lexus CT (1.8) 200h Hybrid A Luxury / Led-Ajovalot / Mark Levinson Audio System / Navigointi / Metalliväri / Peruutuskamera|2011|179 000|13 900 €|11-2021,2011,179 000,13 900 €,11-2021
Lexus CT (1.8)|2011|190 000|11 900 €|11-2021,2011,190 000,11 900 €,11-2021
Lexus CT (1.8) CT200H|2011|96 000|16 800 €|11-2021,2011,96 000,16 800 €,11-2021
Lexus CT (1.8)|2011|217 936|11 900 €|11-2021,2011,217 936,11 900 €,11-2021
Lexus CT (1.8) 200h Executive #Nahkasisusta #Kattoluukku #Mark&Levinson #Bi-xenon #Vakkari #Keyless|2011|195 000|13 900 €|12-2021,2011,195 000,13 900 €,12-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Hybrid A Comfort (MY12)|2012|148 000|Not priced|00-0000,2012,148 000,Not priced,00-0000
Lexus CT (1.8)|2012|115 000|18 000 €|00-0000,2012,115 000,18 000 €,00-0000
Lexus CT (1.8) 200h Hybrid A Comfort *Navigointi- ja audiopaketti*|2012|48 000|17 500 €|06-2021,2012,48 000,17 500 €,06-2021
"Lexus CT (1.8) 200h Hybrid A Comfort - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - **100% Lex|2012|136 000|13 490 €|06-2021",2012,136 000,13 490 €,06-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2012|72 500|16 980 €|10-2021,2012,72 500,16 980 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2012|117 000|12 800 €|07-2021,2012,117 000,12 800 €,07-2021
"Lexus CT (1.8) 200h Hybrid A E / PERUUTUSKAMERA / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2012|93 000|13 480 €|07-2021",2012,93 000,13 480 €,07-2021
Lexus CT (1.8)|2012|183 000|10 900 €|08-2021,2012,183 000,10 900 €,08-2021
Lexus CT (1.8) 200h Hybrid A E - * Lohkolämmitin + sis. pistoke / Juuri huollettu *|2012|126 000|13 490 €|07-2021,2012,126 000,13 490 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort **  Helmiäisvalkoinen / Suomi-auto / Merkkihuollettu **|2012|97 000|15 790 €|07-2021,2012,97 000,15 790 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort / Vakkari / Ilmastoitu / Bluetooth /|2012|126 000|13 800 €|07-2021,2012,126 000,13 800 €,07-2021
Lexus CT (1.8) 200h Hybrid A E / Suomiauto / Lohko+sisäpistoke / 2xrenkaat|2012|200 000|10 990 €|06-2021,2012,200 000,10 990 €,06-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2012|170 000|12 900 €|06-2021,2012,170 000,12 900 €,06-2021
Lexus CT (1.8) 200h Hybrid *KEYLESSGO *ALCANTARA *BLUETOOTH *LOHKOLÄMMITIN NÄPPÄRÄ LEXUS!|2012|99 600|14 490 €|09-2021,2012,99 600,14 490 €,09-2021
Lexus CT (1.8)|2012|223 000|8 500 €|08-2021,2012,223 000,8 500 €,08-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2012|130 000|14 900 €|06-2021,2012,130 000,14 900 €,06-2021
Lexus CT (1.8)|2012|138 000|13 750 €|08-2021,2012,138 000,13 750 €,08-2021
Lexus CT (1.8) 200h Hybrid A Comfort ** Suomi-auto / P-kamera / Vakkari / Bluetooth **|2012|123 000|13 800 €|07-2021,2012,123 000,13 800 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort / Suomi-auto / Peruutuskamera / Lohkolämmitin /|2012|148 000|13 770 €|08-2021,2012,148 000,13 770 €,08-2021
Lexus CT (1.8)|2012|158 000|10 990 €|07-2021,2012,158 000,10 990 €,07-2021
Lexus CT (1.8) 200h Hybrid A Executive / Nahkasisusta / Peruutuskamera / LED-päiväajovalot /|2012|164 000|12 750 €|08-2021,2012,164 000,12 750 €,08-2021
"Lexus CT (1.8) 200h Hybrid A Executive - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - *Huoltok|2012|172 905|11 890 €|07-2021",2012,172 905,11 890 €,07-2021
Lexus CT (1.8) F Sport 200h Hybrid|2012|101 000|16 890 €|10-2021,2012,101 000,16 890 €,10-2021
Lexus CT (1.8)|2012|168 000|10 500 €|08-2021,2012,168 000,10 500 €,08-2021
Lexus CT (1.8) 200h Hybrid A E #Vaaleetanahkaa #Navi #Peruutuskamera #Vakkari|2012|139 000|13 800 €|10-2021,2012,139 000,13 800 €,10-2021
Lexus CT (1.8) 200h Hybrid A F Sport|2012|133 000|14 980 €|09-2021,2012,133 000,14 980 €,09-2021
Lexus CT (1.8) Lexus CT200h / Hybridi / Vaihto ja Rahoitus / kotiinToimitus /|2012|118 000|15 900 €|10-2021,2012,118 000,15 900 €,10-2021
"Lexus CT (1.8) 200h Hybrid A E, *AJ. 139TKM, 100% MERKKIHUOLLETTU. ERITTÄIN SIISTI* RUOSTESUOJATTU! JOPA ILMAN KÄSIRAHAA|2012|139 000|14 890 €|09-2021",2012,139 000,14 890 €,09-2021
Lexus CT (1.8)|2012|136 810|15 600 €(incl. VAT)|11-2021,2012,136 810,15 600 €(incl. VAT),11-2021
Lexus CT (1.8) 200h Hybrid A E|2012|163 000|12 900 €|10-2021,2012,163 000,12 900 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2012|103 000|13 900 €|10-2021,2012,103 000,13 900 €,10-2021
"Lexus CT (1.8) 200h Hybrid A Comfort # Varmatoiminen Lexus hybrid juuri huollettuna # Helmiäis valkoinen, Kamera, Isofix, Vakkari #|2012|255 000|9 990 €|10-2021",2012,255 000,9 990 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2012|118 000|13 990 €|10-2021,2012,118 000,13 990 €,10-2021
Lexus CT (1.8) 200h Hybrid A F Sport ** Hieno F-Sport Lexus / Suomi-auto / Merkkihuollettu! **|2012|138 000|16 790 €|12-2021,2012,138 000,16 790 €,12-2021
Lexus CT (1.8) 200h Hybrid A Luxury ** Nahkaverhoilu / Navi / Kamera ym. **|2012|110 000|16 990 €|11-2021,2012,110 000,16 990 €,11-2021
"Lexus CT (1.8) 200h Hybrid A Executive - ""!!! 0 KORKO 0, HULLU BLACK WEEK !!!""|2012|89 000|16 450 €|11-2021",2012,89 000,16 450 €,11-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Hybrid A F Sport (MY13.A)|2013|137 500|18 800 €|00-0000,2013,137 500,18 800 €,00-0000
Lexus CT (1.8)|2013|130 000|18 000 €|00-0000,2013,130 000,18 000 €,00-0000
"Lexus CT (1.8) 200h Hybrid A Comfort # Uudet talvirenkaat, # Kamera, Vakkari, Lohkari #|2013|142 000|12 700 €|06-2021",2013,142 000,12 700 €,06-2021
"Lexus CT (1.8) 200h Hybrid A F Sport / Lohkol. + sisäp. *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2013|186 000|12 790 €|07-2021",2013,186 000,12 790 €,07-2021
Lexus CT (1.8) 200h Hybrid A E /  Alcantara / Vakkari / Ev-Mode / Aut-Ilmastointi /|2013|91 000|15 300 €|06-2021,2013,91 000,15 300 €,06-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2013|79 000|19 880 €|06-2021,2013,79 000,19 880 €,06-2021
"Lexus CT (1.8) 200h Hybrid A Executive NAVI (MY13) *LYÖMÄTTÖMÄT X-EDUT! Korko alk. 0,99%!!* SUOJELE LUMILEOPARDIA*|2013|68 000|18 890 €|08-2021",2013,68 000,18 890 €,08-2021
"Lexus CT (1.8) 200h Hybrid A Comfort - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** -|2013|134 000|13 900 €|06-2021",2013,134 000,13 900 €,06-2021
Lexus CT (1.8) 200h Hybrid A E ** Vakkari / P-kamera / Nahkasisusta / AUX **|2013|175 000|12 700 €|08-2021,2013,175 000,12 700 €,08-2021
"Lexus CT (1.8) 200h Hybrid A F Sport *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2013|186 000|12 780 €|08-2021",2013,186 000,12 780 €,08-2021
