Column 1,Column 2,Column 3,Column 4,Column 5
721 €/m,"balcony access block, 45.5 m²",2h+kt,"Espoo
    , Saunalahti 
 
    , Katajalaakso 1",Available from 12/1/21
963 €/m,"block of flats, 55 m²",2h+kt+s,"Espoo
    , Painiitty 
 
    , Lotankatu 3",Available from 1/1/22
"1,020 €/m","row house, 61 m²",2h+k+s,"Espoo
    , Saunalahti 
 
    , Pohjoisviitta 1 B",Available from 12/1/21
"1,069 €/m","block of flats, 57 m²",2H+KT,"Espoo
    , Kilo 
 
    , Nihtitorpankuja 3",Available immediately
919 €/m,"block of flats, 52.5 m²",2h+k+s,"Espoo
    , Niittykumpu 
 
    , Niittymaantie 1 E",Available immediately
770 €/m,"block of flats, 49 m²",1h + avok + lasit. p + s,"Espoo
    , Suurpelto 
 
    , Suurpellon Puistokatu 6",Available from 1/1/22
860 €/m,"block of flats, 42 m²",2h+kk+kph+parveke,"Espoo
    , Tapiola 
 
    , Pohjantie 2",Available immediately
943 €/m,"block of flats, 46.5 m²",2h+kt,"Espoo
    , Matinkylä 
 
    , Matinkallio 7 A",Available from 1/1/22
740 €/m,"block of flats, 38.5 m²","1h, k","Espoo
    , Kivenlahti 
 
    , Aallonkohina 8 A",Available from 12/1/21
780 €/m,"block of flats, 40 m²",1h+alkovi+avok+kph+s+las.parv.,"Espoo
    , Tuomarila 
 
    , Kulovalkeantie 14 B",
899 €/m,"block of flats, 45.5 m²",2h+kt,"Espoo
    , Soukka 
 
    , Soukanniementie 1 B",Available from 1/1/22
750 €/m,"block of flats, 33.5 m²",1h+kt+alk+kph,"Espoo
    , Olari 
 
    , Puolikuu 5 F",Available immediately
700 €/m,"block of flats, 30 m²",1h + kk,"Espoo
    , Haukilahti 
 
    , Pitkänkalliontie 11",Available immediately
999 €/m,"block of flats, 68.5 m²",3H+K,"Espoo
    , Suvela 
 
    , Joupinrinne 4",Available from 12/1/21
684.12 €/m,"block of flats, 51 m²",2H+KK+S,"Espoo
    , Saunalahti 
 
    , Tiimalasintie 4",Available from 2/13/22
962 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Vermonniitty 
 
    , Uuno Kailaan katu 5",Available immediately
899 €/m,"block of flats, 50 m²",2h+k,"Espoo
    , Matinkylä 
 
    , Kala-Matti 3 A",Available from 1/1/22
770 €/m,"balcony access block, 53 m²",2h + k + lasit. p,"Espoo
    , Kivenlahti 
 
    , Merivirta 11",Available immediately
931 €/m,"block of flats, 45.5 m²",2h+kt+p,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
895 €/m,"block of flats, 40.5 m²",1H+KT,"Espoo
    , Leppävaara 
 
    , Ajurinkuja 1",Available immediately
499 €/m,"block of flats, 20.5 m²",1H+AVOK+KPH,"Espoo
    , Olari 
 
    , Kuutamokatu 2 E",Available from 12/1/21
939 €/m,"block of flats, 59 m²",2h+k+s,"Espoo
    , Leppävaara 
 
    , Kyyhkysmäki 16 B",Available from 1/1/22
955 €/m,"block of flats, 49 m²",2H+KK,"Espoo
    , Pohjois-Tapiola 
 
    , Tietäjäntie 3",Available immediately
"1,302 €/m","block of flats, 74.5 m²",3h+kt+s,"Espoo
    , Painiitty 
 
    , Lotankatu 3",Available from 1/3/22
"1,500 €/m","block of flats, 69 m²","PARTLY FURNISHED 3r, sauna, ba...","Espoo
    , Leppävaara 
 
    , Puuportti 2",Available from 12/5/21
920 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Vermonniitty 
 
    , Uuno Kailaan katu 5",Available immediately
"1,245 €/m","block of flats, 68 m²",3H+K+S,"Espoo
    , Matinkylä 
 
    , Markkinakatu 4 B",Available from 11/30/21
"1,047 €/m","block of flats, 53.5 m²",2H+KK+S,"Espoo
    , Matinkylä 
 
    , Markkinakatu 4 A",Available immediately
930 €/m,"block of flats, 50 m²",2H+K+S,"Espoo
    , Matinkylä 
 
    , Puntaritie 2",Available immediately
930 €/m,"block of flats, 48.5 m²",2H+KK+S,"Espoo
    , Matinkylä 
 
    , Puntaritie 2",Available from 11/30/21
996 €/m,"block of flats, 58.5 m²","2h, keit, kph, sauna, lasitett...","Espoo
    , Leppävaara 
 
    , Leppävaarankatu 17 C 20",Available immediately
690 €/m,"block of flats, 27.5 m²",1h+kk+kph+parveke,"Espoo
    , Saunalahti 
 
    , Kummelivuorentie 15 C",Available from 1/1/22
"1,000 €/m","block of flats, 44.5 m²",2 h + k + lasitettu parveke,"Espoo
    , Olari 
 
    , Piispanportti 9",Available from 12/1/21
765 €/m,"block of flats, 29 m²",1 h + k  +p,"Espoo
    , Matinkylä 
 
    , Piispankallio 4",Available from 12/1/21
597 €/m,"block of flats, 14 m²",Omahuone,"Espoo
    , Otaniemi 
 
    , Kivimiehentie 2",Available from 12/19/21
695 €/m,"block of flats, 28 m²","1h,kt,alk,kph,parv.","Espoo
    , Saunalahti 
 
    , Linjaloistonkatu 3",Available immediately
"1,410.31 €/m","row house, 106 m²",5h+k+s,"Espoo
    , Laurinlahti 
 
    , Ristiniementie 16",Available from 12/14/21
543 €/m,"block of flats, 16 m²","Omahuone, ak, jaettu kph, yhte","Espoo
    , Kuninkainen 
 
    , Herttuantie 4",Available from 12/2/21
"1,085.45 €/m","row house, 93 m²",4H+K+S,"Espoo
    , Niipperi 
 
    , Suopurontie 3 F 19",Available from 12/13/21
690 €/m,"block of flats, 20 m²",1h+avok+kph,"Espoo
    , Tapiola 
 
    , Sateentie 2 A",Available immediately
745 €/m,"block of flats, 50.5 m²",2h + kk + kph + lasitettu p,"Espoo
    , Kivenlahti 
 
    , Merivirta 11 D",Available from 12/1/21
715 €/m,"block of flats, 31 m²",1h+kt,"Espoo
    , Sepänkylä 
 
    , Peuraniitty 1",Available from 12/1/21
850 €/m,"block of flats, 50.5 m²",2 h+ kk +kph +s +lp,"Espoo
    , Espoon keskus 
 
    , Sunantie 14 A",Available from 12/1/21
870 €/m,"block of flats, 51.5 m²",2H+KH+KK,"Espoo
    , Suvela 
 
    , Kirstintie 16",Available immediately
740 €/m,"block of flats, 28.5 m²",1h + ak + lasitettu parveke,"Espoo
    , Kilo 
 
    , Kilonportti 2 A",Available from 12/1/21
"1,200 €/m","block of flats, 68.2 m²",Hyväpohjainen kolmio Otsonkall,"Espoo
 
    , Otsonkallio 3",
758.1 €/m,"block of flats, 30 m²",1 h + kk + lasitettu parveke,"Espoo
    , Matinkylä 
 
    , Matinniitynkuja 6 B",Available from 12/1/21
"2,400 €/m","single-family house, 257 m²","5h, k, 2x olohuone, 2x kph, sa","Espoo
    , Latokaski 
 
    , Kantokaski 1",
936.33 €/m,"block of flats, 59 m²",2H+K,"Espoo
    , Suurpelto 
 
    , Klariksentie 2",Available from 1/3/22
899 €/m,"block of flats, 50 m²",2H+KK+S,"Espoo
    , Kiltakallio 
 
    , Viirikuja 1 B",Available from 1/1/22
750 €/m,"block of flats, 40 m²",2h+kt,"Espoo
    , Suurpelto 
 
    , Suurpellon puistokatu 4",Available from 12/1/21
"1,116 €/m","block of flats, 67 m²",3h+kt+s,"Espoo
    , Suurpelto 
 
    , Suurpellon puistokatu 4",Available immediately
"1,023 €/m","block of flats, 60 m²",2h+kt+s,"Espoo
    , Suurpelto 
 
    , Suurpellon puistokatu 4",Available immediately
"1,095 €/m","block of flats, 68.5 m²",3h+kt+s,"Espoo
    , Suurpelto 
 
    , Suurpellon puistokatu 4",Available immediately
980 €/m,"block of flats, 55 m²",2h+kt,"Espoo
    , Leppävaara 
 
    , Mestarinkatu 8",Available immediately
820 €/m,"block of flats, 46.5 m²",2h+avok+s+p,"Espoo
    , Saunalahti 
 
    , Vanha Saunalahdentie 17",Available immediately
810 €/m,"block of flats, 55 m²","2h,k,kph,p","Espoo
    , Olari 
 
    , Länsiportti 4 A",Available immediately
"1,245 €/m","block of flats, 63 m²",3h+kt,"Espoo
    , Niittykumpu 
 
    , Niittykatu 1 E-F",Available from 12/1/21
944.22 €/m,"block of flats, 59.5 m²",3h+k+vh+parveke,"Espoo
 
    , Tillinmäentie 31 F",Available from 12/1/21
"1,082.52 €/m","block of flats, 79.5 m²",3H+K+S,"Espoo
    , Leppävaara 
 
    , Säterinrinne 2 A 14",Available from 2/12/22
915 €/m,"block of flats, 48 m²",2H+K,"Espoo
    , Leppävaara 
 
    , Leirikaari 24",Available immediately
814 €/m,"block of flats, 28 m²",1h+kt+var,"Espoo
    , Leppävaara 
 
    , Tulkinkuja 3",Available immediately
832 €/m,"block of flats, 33.5 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
788 €/m,"block of flats, 27.5 m²",1h+kt+p,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
853 €/m,"block of flats, 37 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
891 €/m,"block of flats, 40.5 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
542.3 €/m,"block of flats, 35.5 m²",1H+KK,"Espoo
    , Ymmersta 
 
    , Ullantorppa 2",Available from 1/1/22
549.94 €/m,"block of flats, 36 m²",1H+KK,"Espoo
    , Ymmersta 
 
    , Ullantorppa 2",Available from 1/1/22
899 €/m,"single-family house, 30 m²",1h + kk + s,"Espoo
    , Puolarmaari 
 
    , Marjastajanpolku 4",Available immediately
985 €/m,"block of flats, 54 m²",2H+K,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 25",Available from 1/1/22
790 €/m,"block of flats, 50 m²",2h+k+kph+vh+lp,"Espoo
    , Tuomarila 
 
    , Kaksoiskiventie 49 A",Available immediately
660 €/m,"block of flats, 32.5 m²",1h+avok+alkovi+kph+lp,"Espoo
    , Tuomarila 
 
    , Kaksoiskiventie 49 E",Available immediately
"1,244.76 €/m","row house, 93 m²",4h+k+s,"Espoo
    , Laurinlahti 
 
    , Ristiniementie 16",Available from 1/17/22
808 €/m,"block of flats, 18 m²","Omahuone, kph","Espoo
    , Otaniemi 
 
    , Kivimiehentie 2",Available from 12/28/21
"2,685 €/m","block of flats, 72 m²","3h, ak, kph, s, p","Espoo
    , Leppävaara 
 
    , Porarinkatu 2",Available immediately
"2,358 €/m","block of flats, 78 m²","3h, k, s, p","Espoo
    , Espoon keskus 
 
    , Reviisorinkatu 10",Available from 12/31/21
"1,210 €/m","block of flats, 68.5 m²",3H+KT+S,"Espoo
    , Espoon keskus 
 
    , Valakuja 8",Available from 1/1/22
899 €/m,"block of flats, 49.5 m²",2H+KK,"Espoo
    , Suvela 
 
    , Joupinmäenrinne 6",Available immediately
920 €/m,"block of flats, 41 m²",2h+kt+kph+vh+lasit.p,"Espoo
    , Niittykumpu 
 
    , Riihitontuntie 16 B 70",
753 €/m,"block of flats, 30 m²",1h+kt+alk.,"Espoo
    , Espoon keskus 
 
    , Suviniitynkatu 1",Available from 12/1/21
"1,203.89 €/m","block of flats, 91.5 m²",4H+K+S,"Espoo
    , Leppävaara 
 
    , Säterinrinne 2 A 07",Available from 2/10/22
950 €/m,"block of flats, 60.5 m²",2h + keittiö + WC/suihku + par...,"Espoo
    , Kivenlahti 
 
    , Ristiaallokonkatu 6 A 24",Available immediately
860 €/m,"block of flats, 46 m²",2h+kk+kph+s+vh+lasitettu p,"Espoo
    , Matinkylä 
 
    , Nelikkokuja 8 A",Available from 12/1/21
"1,049 €/m","block of flats, 62 m²",3h+kk+s,"Espoo
    , Kilo 
 
    , Ruotutorppa 8 C",Available from 1/1/22
709 €/m,"block of flats, 21 m²",1h+kk,"Espoo
    , Tapiola 
 
    , Jousenkaari 7 A",Available from 1/1/22
796 €/m,"block of flats, 33.5 m²",1h+kt,"Espoo
    , Matinkylä 
 
    , Etuniementie 1 C-E",Available immediately
840 €/m,"block of flats, 43 m²",2H+KK,"Espoo
    , Matinkylä 
 
    , Matinkatu 8",Available immediately
"1,120 €/m","block of flats, 57.5 m²",3H+KK,"Espoo
    , Espoon keskus 
 
    , Asemakuja 1",Available immediately
894 €/m,"block of flats, 63.5 m²",2H+K,"Espoo
    , Kivenlahti 
 
    , Aallonhuippu 9",Available from 12/1/21
859 €/m,"block of flats, 51.4 m²",2h+k,"Espoo
    , Viherlaakso 
 
    , Viherlaaksonranta 7 F",Available from 12/1/21
999 €/m,"block of flats, 77 m²",3h+k+kph+vh+parv.,"Espoo
    , Suvela 
 
    , Kirstinmäki 17 B",Available from 1/1/22
"1,095 €/m","block of flats, 44 m²",2h+kt,"Espoo
    , Kivenlahti 
 
    , Marinportti 4 A",Available on agreement
"1,090 €/m","block of flats, 53.5 m²",2h+kt+s,"Espoo
    , Niittykumpu 
 
    , Niittysillankulma 2 E",Available from 1/1/22
645 €/m,"block of flats, 20.5 m²","1h,kt,kh,las.parv.","Espoo
    , Saunalahti 
 
    , Tiimalasintie 6",Available from 12/1/21
927.3 €/m,"row house, 59 m²",2H+TPK+S,"Espoo
    , Nöykkiö 
 
    , Viittakorpi 2",Available from 1/1/22
754.3 €/m,"block of flats, 37.5 m²",1H+KT,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 11",Available from 1/1/22
975.38 €/m,"detached house, 73.5 m²",3H+K+S,"Espoo
    , Kilo 
 
    , Haarniskakuja 6 Ja 10",Available from 2/11/22
726.46 €/m,"balcony access block, 57.5 m²",2h+k+s,"Espoo
    , Kauklahti 
 
    , Fickenkuja 2 C-E",Available from 12/1/21
"1,290 €/m","block of flats, 33 m²","1h, tk, kph, p","Espoo
    , Olari 
 
    , Länsiportti 4",Available from 12/1/21
890 €/m,"block of flats, 42 m²",2H+KT,"Espoo
    , Espoon keskus 
 
    , Kirkkojärventie 10",Available from 1/1/22
925 €/m,"block of flats, 44 m²",2H+KK,"Espoo
    , Espoon keskus 
 
    , Valakuja 8",Available immediately
"1,295 €/m","block of flats, 67 m²",3h+kk,"Espoo
    , Tapiola 
 
    , Elosalamantie 2 C",Available from 1/1/22
820 €/m,"block of flats, 28 m²",1h+kph+iso lasitettu parveke,"Espoo
    , Tapiola 
 
    , Jousenpuistonkatu 3",Available immediately
850 €/m,"block of flats, 51 m²",2H+K+KPH+LASITETTU P,"Espoo
    , Leppävaara 
 
    , Ajurinkatu 2 D",Available from 12/1/21
953 €/m,"block of flats, 44.5 m²",2h+kt,"Espoo
    , Olari 
 
    , Piispanpiha 7",Available from 12/1/21
760 €/m,"block of flats, 28.5 m²",1h+kt,"Espoo
    , Niittykumpu 
 
    , Niittykatu 1 C-D",Available from 1/3/22
"1,263 €/m","block of flats, 73.5 m²",3h+k+s,"Espoo
    , Matinkylä 
 
    , Nelikkotie 2",Available from 1/3/22
650 €/m,"block of flats, 26 m²","1h,kt.kh,rp","Espoo
    , Saunalahti 
 
    , Tyyrpuuri 2",Available immediately
"1,259 €/m","block of flats, 93 m²",4h+k,"Espoo
    , Kauklahti 
 
    , Hansatie 4 I",Available from 1/1/22
739 €/m,"block of flats, 38.5 m²",1h+k,"Espoo
    , Kivenlahti 
 
    , Aalto 4 C",Available from 1/1/22
715 €/m,"block of flats, 38 m²",1h+alk+avok+kph,"Espoo
    , Espoonlahti 
 
    , Ruorimiehenkatu 3 D",Available from 12/1/21
899 €/m,"block of flats, 51 m²",2h+k+s,"Espoo
    , Lippajärvi 
 
    , Linnustajantie 17 B",Available from 1/1/22
"1,100 €/m","block of flats, 59.5 m²","3h,k,kph,p","Espoo
    , Tapiola 
 
    , Kelohongantie 11 A",Available from 12/1/21
893.35 €/m,"row house, 84.5 m²",3H+K+S,"Espoo
    , Jouppi 
 
    , Joupinmäensyrjä 3",Available from 2/11/22
"1,398.79 €/m","semi-detached house, 100.5 m²",5H+K+S,"Espoo
    , Mankkaa 
 
    , Taavinharju 16",Available from 2/5/22
"2,200 €/m","detached house, 179 m²","5 h, k, rt, khh, s, kph, wc, v","Espoo
    , Friisilä 
 
    , Tähdenlennonkuja 4 B",Available from 1/1/22
829 €/m,"block of flats, 53.5 m²",2h+k,"Espoo
    , Soukka 
 
    , Kaskivuorenkuja 3 C",Available immediately
758 €/m,"block of flats, 26 m²",1h+kt+p,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
889 €/m,"block of flats, 40.5 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
790 €/m,"block of flats, 30.5 m²","1h,kt,kh,las.parv.","Espoo
    , Leppävaara 
 
    , Armas Launiksen katu 14",Available from 12/28/21
910 €/m,"block of flats, 44 m²","2h,kt,kh,las.parv.","Espoo
    , Leppävaara 
 
    , Armas Launiksen katu 14",Available from 12/28/21
995 €/m,"block of flats, 47 m²",2h+kt,"Espoo
    , Kivenlahti 
 
    , Marinportti 3",Available from 12/1/21
"1,059.69 €/m","semi-detached house, 93.5 m²",4h+k+s,"Espoo
    , Niipperi 
 
    , Nikunmäentie 1",Available from 1/31/22
"1,282.47 €/m","row house, 109 m²",5h+k+s,"Espoo
 
    , Mindeninkuja 2",Available from 2/1/22
"1,350 €/m","block of flats, 82 m²",3H+K+S,"Espoo
    , Leppävaara 
 
    , Postipuuntie 10",Available from 11/30/21
950 €/m,"block of flats, 57 m²",2H+K+S,"Espoo
    , Leppävaara 
 
    , Postipuuntie 10",Available immediately
859 €/m,"block of flats, 37.5 m²",2h+kt,"Espoo
    , Leppävaara 
 
    , Runoratsunkatu 5 A",Available from 1/1/22
859 €/m,"block of flats, 41 m²",1h+k,"Espoo
    , Tapiola 
 
    , Kaskenkaatajantie 5 D",Available from 2/1/22
829 €/m,"block of flats, 30 m²",1h+kt,"Espoo
    , Niittykumpu 
 
    , Haukilahdenkatu 1 A",Available from 12/1/21
"1,039 €/m","block of flats, 81 m²",3+k,"Espoo
    , Soukka 
 
    , Alakartanontie 4 A",Available immediately
799 €/m,"block of flats, 49 m²",2h+kk,"Espoo
    , Karakallio 
 
    , Kotkatie 6 I",Available from 1/1/22
819.53 €/m,"block of flats, 74.5 m²",3H+K+S,"Espoo
    , Gumböle 
 
    , Hirvisuontie 5 B 25",Available from 1/28/22
792.87 €/m,"block of flats, 57.5 m²",2H+KK+S,"Espoo
    , Leppävaara 
 
    , Säterinkuja 1 C 40",Available from 1/30/22
690 €/m,"block of flats, 31.5 m²",1h+kt+kph+lasit.p,"Espoo
    , Saunalahti 
 
    , Linjaloistonkatu 7 B",Available from 12/1/21
750 €/m,"block of flats, 28.5 m²",1h+avok+kph+vh+ransk.p,"Espoo
    , Olari 
 
    , Piispanportti 9 B",Available from 12/1/21
849 €/m,"balcony access block, 63 m²",2h+k+kph+vh,"Espoo
    , Tontunmäki 
 
    , Kotitontuntie 6-8 B",Available immediately
"1,299 €/m","block of flats, 76.5 m²",3h+k+s,"Espoo
    , Leppävaara 
 
    , Porarinkatu 2 D",Available from 12/1/21
859 €/m,"block of flats, 41 m²",1h+k,"Espoo
    , Tapiola 
 
    , Kaskenkaatajantie 5 C",Available from 1/1/22
"1,600 €/m","block of flats, 66 m²",2h + avok,"Espoo
    , Kivenlahti 
 
    , Tyrskyvuori 4, as 106",Available immediately
"1,120 €/m","block of flats, 57.5 m²",3H+KK,"Espoo
    , Espoon keskus 
 
    , Asemakuja 1",Available immediately
720 €/m,"block of flats, 31 m²",1 h kt,"Espoo
    , Ymmersta 
 
    , Ullanmäentie 12 B",Available immediately
860 €/m,"block of flats, 45 m²","2h,kk,kph","Espoo
    , Matinkylä 
 
    , Aapelinkatu 9 C",Available immediately
"1,550 €/m","block of flats, 66 m²",2h + avok,"Espoo
    , Kivenlahti 
 
    , Tyrskyvuori 4, as 105",Available immediately
895 €/m,"block of flats, 43.5 m²",2H+KT,"Espoo
    , Espoon keskus 
 
    , Kirkkojärventie 10",Available immediately
714 €/m,"block of flats, 30 m²",1h+kt,"Espoo
    , Kauklahti 
 
    , Lasiportti 2",Available from 12/1/21
870 €/m,"block of flats, 42.5 m²",2H+KK,"Espoo
    , Suurpelto 
 
    , Klariksentie 6",Available from 12/1/21
693.32 €/m,"block of flats, 46.5 m²",2H+KK+S,"Espoo
    , Leppävaara 
 
    , Säterinrinne 2 B 15",Available from 2/1/22
797.62 €/m,"balcony access block, 42 m²",2h+kt,"Espoo
    , Järvenperä 
 
    , Pellaksenmäentie 13",Available immediately
"1,020.3 €/m","balcony access block, 60 m²",3h+kt+s,"Espoo
    , Järvenperä 
 
    , Pellaksenmäentie 13",Available immediately
820 €/m,"block of flats, 37.5 m²",1h+kt+s,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 17",Available from 12/1/21
907 €/m,"block of flats, 47.5 m²",2h+kt+s,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 17",Available from 12/1/21
811 €/m,"block of flats, 37.5 m²",1h+kt+s,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 17",Available from 12/1/21
"1,643.57 €/m","semi-detached house, 117.5 m²",5h+k+s,"Espoo
    , Pohjois-Tapiola 
 
    , Metsäpirtintie 16",Available from 1/30/22
"1,754 €/m","block of flats, 46 m²",,"Espoo
    , Lintuvaara 
 
    , Lintuvaarantie 21",Available from 12/7/21
936 €/m,"block of flats, 57 m²",2H+KT,"Espoo
    , Kilo 
 
    , Nihtitorpankuja 3",Available immediately
"1,190 €/m","block of flats, 72.5 m²",3H+K+S,"Espoo
    , Ymmersta 
 
    , Ullantorpantie 1",Available from 12/1/21
"1,720 €/m","semi-detached house, 116 m²",5h+k+s,"Espoo
    , Sepänkylä 
 
    , Peuramäenkuja 3",Available immediately
684.73 €/m,"block of flats, 56.5 m²",2H+K+S,"Espoo
    , Saunalahti 
 
    , Kummelivuorentie 6",Available from 1/30/22
950 €/m,"block of flats, 44 m²","2h, kt, vh, kh, lasitettu parv","Espoo
    , Olari 
 
    , Piispanportti 9",Available from 12/1/21
986 €/m,"block of flats, 46 m²",2h+kt,"Espoo
    , Niittykumpu 
 
    , Niittyportinpolku 2 B",Available from 1/1/22
"1,102 €/m","block of flats, 50.5 m²",2H+K+S+P,"Espoo
    , Leppävaara 
 
    , Ratsukatu 4 A",Available from 1/1/22
850 €/m,"balcony access block, 58 m²",2h+k+s,"Espoo
    , Järvenperä 
 
    , Aurorankuja 5",Available from 12/16/21
748 €/m,"block of flats, 26 m²",1h+kt+p,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
843 €/m,"block of flats, 37 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
853 €/m,"block of flats, 37 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
924 €/m,"block of flats, 45.5 m²",2h+kt+p,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
815 €/m,"block of flats, 33.5 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
852 €/m,"block of flats, 47.5 m²",1h+tpk,"Espoo
    , Niittymaa 
 
    , Malmiportti 4 A",Available from 1/1/22
798 €/m,"block of flats, 31 m²",1H+KK,"Espoo
    , Espoon keskus 
 
    , Asemakuja 1",Available immediately
740.89 €/m,"block of flats, 48.5 m²",2H+K,"Espoo
    , Ymmersta 
 
    , Ullantorppa 2",Available from 1/1/22
950 €/m,"block of flats, 44 m²","2h, kt, vh, kh, lasitettu parv","Espoo
    , Olari 
 
    , Piispanportti 9",Available from 12/1/21
986 €/m,"block of flats, 46 m²",2h+kt,"Espoo
    , Niittykumpu 
 
    , Niittyportinpolku 2 B",Available from 1/1/22
"1,102 €/m","block of flats, 50.5 m²",2H+K+S+P,"Espoo
    , Leppävaara 
 
    , Ratsukatu 4 A",Available from 1/1/22
850 €/m,"balcony access block, 58 m²",2h+k+s,"Espoo
    , Järvenperä 
 
    , Aurorankuja 5",Available from 12/16/21
843 €/m,"block of flats, 37 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
815 €/m,"block of flats, 33.5 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
924 €/m,"block of flats, 45.5 m²",2h+kt+p,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
853 €/m,"block of flats, 37 m²",2h+kt+ransk,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
748 €/m,"block of flats, 26 m²",1h+kt+p,"Espoo
    , Olari 
 
    , Ylismäentie 12",Available immediately
852 €/m,"block of flats, 47.5 m²",1h+tpk,"Espoo
    , Niittymaa 
 
    , Malmiportti 4 A",Available from 1/1/22
798 €/m,"block of flats, 31 m²",1H+KK,"Espoo
    , Espoon keskus 
 
    , Asemakuja 1",Available immediately
740.89 €/m,"block of flats, 48.5 m²",2H+K,"Espoo
    , Ymmersta 
 
    , Ullantorppa 2",Available from 1/1/22
"1,116.27 €/m","detached house, 76.5 m²",3H+K+S,"Espoo
    , Laajalahti 
 
    , Hiitolantie 10",Available from 2/12/22
"1,210 €/m","block of flats, 67.5 m²",3h+kt+s,"Espoo
    , Espoon keskus 
 
    , Suviniitynkatu 1",Available from 12/1/21
650 €/m,"block of flats, 38.5 m²",1h+k+vh+kh,"Espoo
    , Kivenlahti 
 
    , Aallonkohina 8 C",Available immediately
798 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Kivenlahti 
 
    , Marinkallio 6",Available from 1/1/22
925 €/m,"block of flats, 29 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Koivu-Mankkaan tie 1",Available from 1/1/22
350 €/m,"single-family house, 10 m²",1h,"Espoo
    , Oittaa 
 
    , Kellokuja 4a",Available on agreement
730 €/m,"balcony access block, 36 m²",1h+k+parvi,"Espoo
    , Saunalahti 
 
    , Itäviitta 6 A",Available from 12/1/21
775 €/m,"block of flats, 29 m²",1h+kt,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
920 €/m,"block of flats, 45.5 m²",2h+kt,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
650 €/m,"block of flats, 31 m²",1h + kk,"Espoo
    , Tiistilä 
 
    , Kalastajankuja 8 C",Available from 12/1/21
956.03 €/m,"row house, 79 m²",3h+kt+s,"Espoo
    , Kauklahti 
 
    , Fickenkuja 4 A",Available from 2/4/22
"1,053 €/m","block of flats, 37 m²","1h, kk, kph, wc","Espoo
    , Otaniemi 
 
    , Kivimiehentie 2",Available immediately
