Column 1,Column 2,Column 3,Column 4,Column 5
887 €/m,"block of flats, 43 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
890 €/m,"block of flats, 48 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,120 €/m","block of flats, 59 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,090 €/m","block of flats, 59 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,140 €/m","block of flats, 65 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
930 €/m,"block of flats, 48 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
882 €/m,"block of flats, 43 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
730 €/m,"block of flats, 30 m²",1H+KT+ranskalainen parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,090 €/m","block of flats, 61 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
867 €/m,"block of flats, 43.5 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,100 €/m","block of flats, 59 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,025 €/m","block of flats, 53 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
872 €/m,"block of flats, 43 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
756 €/m,"block of flats, 30 m²",1H+KT+ranskalainen parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,130 €/m","block of flats, 65 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,080 €/m","block of flats, 61 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
892 €/m,"block of flats, 43.5 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
740 €/m,"block of flats, 30 m²",1H+KT+ranskalainen parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
877 €/m,"block of flats, 43 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,035 €/m","block of flats, 53 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,110 €/m","block of flats, 59 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
872 €/m,"block of flats, 43.5 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,200 €/m","block of flats, 65 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,060 €/m","block of flats, 59.5 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,015 €/m","block of flats, 53 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,130 €/m","block of flats, 59 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
900 €/m,"block of flats, 48 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,030 €/m","block of flats, 55 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,040 €/m","block of flats, 55 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,020 €/m","block of flats, 55 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
995 €/m,"block of flats, 53 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,120 €/m","block of flats, 61 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,130 €/m","block of flats, 65 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,055 €/m","block of flats, 53 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,110 €/m","block of flats, 61 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
920 €/m,"block of flats, 48 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
910 €/m,"block of flats, 48 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,150 €/m","block of flats, 65 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
892 €/m,"block of flats, 43 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
"1,050 €/m","block of flats, 55 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
867 €/m,"block of flats, 43.5 m²",2H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
885 €/m,"block of flats, 41 m²",2h+kt,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
"1,010 €/m","block of flats, 54 m²",2h+kt+alkovi,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
"1,070 €/m","block of flats, 50.5 m²",2h+kt+s,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
760 €/m,"block of flats, 29 m²",1h+kt,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
990 €/m,"block of flats, 54 m²",2h+kt+alkovi,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
"1,260 €/m","block of flats, 68 m²",3h+kt+s,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
885 €/m,"block of flats, 43 m²",2h+kt,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 1",
"1,070 €/m","block of flats, 61.5 m²",3H+KT+lasitettu parveke,"Espoo
    , Suvela 
 
    , Kirstinmäki 6",Available from 2/1/22
813 €/m,"block of flats, 37.5 m²",2H+KK,"Espoo
    , Laaksolahti 
 
    , Rastasniityntie 1",Available immediately
965 €/m,"block of flats, 51 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
810 €/m,"block of flats, 37.5 m²",1 h+ kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
"1,150 €/m","block of flats, 61 m²",3h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
939 €/m,"block of flats, 43.5 m²",2H+KT,"Espoo
    , Vermonniitty 
 
    , Uuno Kailaan katu 6",Available immediately
725 €/m,"block of flats, 31 m²",1h+tupak.,"Espoo
    , Saunalahti 
 
    , Paapuuri 4 B",Available from 12/8/21
871 €/m,"block of flats, 55 m²",2h+k+s,"Espoo
    , Saunalahti 
 
    , Saunalahdenkatu 16 A",Available from 12/10/21
790 €/m,"block of flats, 45 m²","2h, alkovi, kk, kph","Espoo
    , Matinkylä 
 
    , Aapelinkatu 9 C",Available immediately
839 €/m,"block of flats, 50 m²",2h+kk+s,"Espoo
    , Nöykkiö 
 
    , Eestintaival 3 A",Available from 12/1/21
925 €/m,"block of flats, 54 m²",2h+kt,"Espoo
    , Painiitty 
 
    , Lotankatu 1",Available from 12/1/21
"1,667 €/m","block of flats, 40 m²","1h, k, kph","Espoo
    , Leppävaara 
 
    , Nikkarinkuja 5",Available immediately
925 €/m,"block of flats, 38.5 m²",2h+kt,"Espoo
    , Pohjois-Tapiola 
 
    , Metsänpojankuja 5",
997 €/m,"block of flats, 49.5 m²",2h+kt+s,"Espoo
    , Espoon keskus 
 
    , Suviniitynkatu 1",Available from 12/1/21
981 €/m,"block of flats, 53 m²",2h+kt,"Espoo
    , Matinkylä 
 
    , Matinkallio 7 A",Available from 12/1/21
975 €/m,"block of flats, 46.5 m²",2h+kt,"Espoo
    , Pohjois-Tapiola 
 
    , Metsänpojankuja 5",
970 €/m,"block of flats, 45 m²",2h+kt,"Espoo
    , Pohjois-Tapiola 
 
    , Metsänpojankuja 5",
835 €/m,"block of flats, 27.5 m²",1h+kt,"Espoo
    , Pohjois-Tapiola 
 
    , Metsänpojankuja 5",
940 €/m,"block of flats, 40 m²",2h+kt,"Espoo
    , Pohjois-Tapiola 
 
    , Metsänpojankuja 5",
855 €/m,"block of flats, 31 m²",1h+kt+s,"Espoo
    , Pohjois-Tapiola 
 
    , Metsänpojankuja 5",
771.99 €/m,"block of flats, 57 m²",2H+KK+S,"Espoo
    , Saunalahti 
 
    , Tiimalasintie 4",Available from 1/22/22
"1,175 €/m","block of flats, 50 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Koivu-Mankkaan tie 1",Available immediately
880 €/m,"block of flats, 49 m²",2H+KK,"Espoo
    , Espoon keskus 
 
    , Asemakuja 3",Available immediately
698.55 €/m,"block of flats, 58 m²",3H+KK+S,"Espoo
    , Suvela 
 
    , Kirstinmäki 12 A 13",Available from 12/11/21
"1,090 €/m","block of flats, 44 m²",2h+kt,"Espoo
    , Kivenlahti 
 
    , Marinportti 4 A",Available on agreement
890 €/m,"block of flats, 39 m²",Unfurnished studio with big ba...,"Espoo
    , Leppävaara 
 
    , Leppävaarankatu 12 A",Available from 12/1/21
"1,754 €/m","block of flats, 61 m²","2h, k, kph, s, wc, p","Espoo
    , Leppävaara 
 
    , Nikkarinkuja 2",Available from 12/20/21
829 €/m,"block of flats, 52.5 m²",2h+kk,"Espoo
    , Kauklahti 
 
    , Hansatie 4 G",Available from 12/1/21
839 €/m,"block of flats, 42 m²",2h+kk,"Espoo
    , Tuomarila 
 
    , Kulovalkeankuja 2 A",Available from 12/1/21
765 €/m,"block of flats, 40 m²",2 h+kk+p,"Espoo
    , Kilo 
 
    , Lansankallionkuja 2",Available immediately
979.68 €/m,"block of flats, 81.5 m²",4H+K+S,"Espoo
    , Gumböle 
 
    , Rintamäentanhua 5 D 31",Available immediately
912.07 €/m,"block of flats, 84.5 m²",4H+K+S,"Espoo
    , Gumböle 
 
    , Hirvisuontie 5 A 07",Available immediately
895 €/m,"block of flats, 33.5 m²",1h+kt+alkovi,"Espoo
    , Kivenlahti 
 
    , Marinportti 4 A",Available on agreement
890 €/m,"block of flats, 43 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
905 €/m,"block of flats, 43 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
885 €/m,"block of flats, 43 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
830 €/m,"block of flats, 37.5 m²",1 h+ kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
915 €/m,"block of flats, 45 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
910 €/m,"block of flats, 43 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
760 €/m,"block of flats, 31 m²",1 h+ kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
965 €/m,"block of flats, 51 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
965 €/m,"block of flats, 51 m²",2 h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
805 €/m,"block of flats, 37.5 m²",1 h+ kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
"1,150 €/m","block of flats, 61 m²",3h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
"1,340 €/m","block of flats, 77 m²",4 h + kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
"1,140 €/m","block of flats, 61 m²",3h+kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
765 €/m,"block of flats, 31 m²",1 h+ kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
755 €/m,"block of flats, 31 m²",1 h+ kt,"Espoo
 
    , Peijinkuja 3",Available from 3/1/22
637 €/m,"block of flats, 21 m²",1h+avok+kph+lasit.p,"Espoo
    , Saunalahti 
 
    , Tiimalasintie 6 C",Available immediately
"1,757.94 €/m","semi-detached house, 119 m²",5H+K+S,"Espoo
    , Laajalahti 
 
    , Rauduntie 12",Available from 1/20/22
845 €/m,"block of flats, 35 m²",1H+KT,"Espoo
    , Kilo 
 
    , Kilonportti 3",Available immediately
"1,065.29 €/m","block of flats, 62.5 m²",3H+K+S,"Espoo
    , Saunalahti 
 
    , Kompassikatu 7",Available immediately
"1,146 €/m","block of flats, 60 m²",3h+kt+parveke,"Espoo
    , Kilo 
 
    , Multahaankuja 8",Available from 12/1/21
998 €/m,"block of flats, 51.5 m²",2H+KT,"Espoo
    , Kivenlahti 
 
    , Marinkallio 8",Available immediately
"1,173 €/m","block of flats, 69 m²",3H+K+S,"Espoo
    , Järvenperä 
 
    , Aurorankuja 3",Available immediately
888 €/m,"block of flats, 39 m²",2H+KT,"Espoo
    , Espoon keskus 
 
    , Kirkkojärventie 10",Available immediately
960 €/m,"block of flats, 49.5 m²",2H+KT,"Espoo
    , Vermonniitty 
 
    , Uuno Kailaan katu 5",Available immediately
570.21 €/m,"block of flats, 40 m²",1h+kt,"Espoo
    , Suviniitty 
 
    , Reviisorinkatu 6",Available immediately
798.61 €/m,"block of flats, 71 m²",3h+k+s,"Espoo
    , Suvela 
 
    , Suvelantie 16",Available immediately
"1,349 €/m","block of flats, 81 m²",3h+k+s,"Espoo
    , Saunalahti 
 
    , Saunalahdenkatu 18 A",Available from 12/1/21
733.4 €/m,"block of flats, 36.5 m²",1H+KT,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 11",Available immediately
928 €/m,"block of flats, 46.5 m²",2h+kt,"Espoo
 
    , Piispanpiha 5 B",Available from 12/1/21
"1,190 €/m","block of flats, 61.5 m²",3H+KT,"Espoo
    , Vermonniitty 
 
    , Anna Sahlsténin katu 8",Available immediately
960 €/m,"block of flats, 51 m²",2h+kk+s,"Espoo
    , Matinkylä 
 
    , Nelikkotie 2",Available from 12/1/21
"1,145 €/m","block of flats, 59 m²",3h+kt,"Espoo
    , Vermonniitty 
 
    , Anna Sahlsténin katu 10",Available from 12/1/21
855 €/m,"block of flats, 39.5 m²",2H+KT+S,"Espoo
    , Matinkylä 
 
    , Nassakkakuja 4",Available immediately
994 €/m,"block of flats, 54.5 m²",2H+K+S,"Espoo
    , Espoon keskus 
 
    , Kiltakuja 5",Available immediately
839 €/m,"block of flats, 62 m²",2h+k,"Espoo
    , Soukka 
 
    , Soukankaari 11 F",Available from 12/1/21
543 €/m,"block of flats, 11 m²","Omahuone, ak, jaettu kph, yhte","Espoo
    , Kuninkainen 
 
    , Herttuantie 4",Available from 12/20/21
867 €/m,"block of flats, 42 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
794 €/m,"block of flats, 32.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
794 €/m,"block of flats, 32.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
859 €/m,"block of flats, 42 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
880 €/m,"block of flats, 45.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
867 €/m,"block of flats, 42 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
"1,650 €/m","block of flats, 94 m²",4h+k,"Espoo
    , Tapiola 
 
    , Tietäjäntie 11 A",Available from 12/1/21
767 €/m,"balcony access block, 55.5 m²",2h + k + ransk. parveke,"Espoo
    , Karvasmäki 
 
    , Vanha Turuntie 75 13",Available immediately
"1,069 €/m","block of flats, 74 m²",3h+k,"Espoo
    , Karakallio 
 
    , Kotkatie 6 F",Available from 12/1/21
767 €/m,"balcony access block, 55.5 m²",2h + k + ranskalainen parveke,"Espoo
    , Karvasmäki 
 
    , Vanha Turuntie 75 12",Available immediately
849 €/m,"block of flats, 60.5 m²",2h+k,"Espoo
    , Laajalahti 
 
    , Kirvuntie 18 C-D D",Available from 12/1/21
874 €/m,"block of flats, 56 m²",2h+k,"Espoo
    , Matinkylä 
 
    , Matinraitti 9",Available immediately
800 €/m,"balcony access block, 46.5 m²",1h+kk+s,"Espoo
    , Soukka 
 
    , Kastevuorenkuja 1",Available immediately
879 €/m,"block of flats, 62 m²",2h+k,"Espoo
    , Soukka 
 
    , Soukankaari 5 B",Available immediately
708.04 €/m,"block of flats, 51 m²",2H+K,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 3 A-B",Available on agreement
"1,020 €/m","block of flats, 44.5 m²",2h+kk,"Espoo
    , Leppävaara 
 
    , Linnatullinkatu 1",Available immediately
779 €/m,"block of flats, 55 m²",2h+kk,"Espoo
    , Kauklahti 
 
    , Klippinkitie 1",Available from 12/15/21
"1,059 €/m","block of flats, 76 m²",3h+k,"Espoo
    , Soukka 
 
    , Alakartanontie 13 E",Available from 12/1/21
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
787 €/m,"block of flats, 32.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
676 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
672 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
666 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
679 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
676 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
679 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
676 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
779 €/m,"block of flats, 32.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
672 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
676 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
787 €/m,"block of flats, 32.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Laidunmaanraitti 2",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
689 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
676 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
676 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
689 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
886 €/m,"block of flats, 42.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
689 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
877 €/m,"block of flats, 42.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
877 €/m,"block of flats, 42.5 m²",2H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
682 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
676 €/m,"block of flats, 26 m²",1H+KT,"Espoo
    , Nöykkiö 
 
    , Nöykkiönlaaksontie 7",Available from 3/1/22
839 €/m,"block of flats, 41.5 m²",2h+kk,"Espoo
    , Kilo 
 
    , Lansantie 3 C",Available from 12/1/21
"2,690 €/m","block of flats, 88 m²",,"Espoo
    , Matinkylä 
 
    , Kala-Matti",Available from 12/17/21
890 €/m,"block of flats, 29 m²",1h + avok + terassi + piha,"Espoo
    , Tapiola 
 
    , Tuuliniitty 5 B",Available immediately
925 €/m,"block of flats, 42.5 m²",2H+KT+KPH+S,"Espoo
    , Tapiola 
 
    , Neulaspolku 1",Available immediately
"1,390 €/m","block of flats, 83.5 m²",4h+k+lasitettu parveke,"Espoo
    , Haukilahti 
 
    , Hauenkalliontie 12-14 H",Available immediately
798 €/m,"block of flats, 40 m²",2h+avok+kph+parveke,"Espoo
    , Tapiola 
 
    , Otsolahdentie 14 A",Available immediately
829 €/m,"block of flats, 47 m²",2h+k+kph+p.,"Espoo
    , Olari 
 
    , Ylistörmä 5 C",Available immediately
980 €/m,"block of flats, 53 m²",2H+KT,"Espoo
    , Kivenlahti 
 
    , Marinkallio 4",Available immediately
989 €/m,"block of flats, 57 m²",2H+K+S,"Espoo
    , Matinkylä 
 
    , Nassakkakuja 4",Available immediately
625 €/m,"block of flats, 39.5 m²",1h+k+kph+alkovi,"Espoo
    , Kivenlahti 
 
    , Aallonhuippu 5 B",Available immediately
772 €/m,"block of flats, 31.5 m²",1h+k,"Espoo
    , Matinkylä 
 
    , Nelikkotie 8 C",Available from 12/1/21
"1,237 €/m","block of flats, 65.5 m²",3H+K+S+P,"Espoo
    , Leppävaara 
 
    , Ratsukatu 4 A",Available from 12/15/21
785 €/m,"block of flats, 30 m²",1h+kk+alk,"Espoo
    , Niittymaa 
 
    , Malmiportti 4 A",Available from 12/1/21
885 €/m,"block of flats, 48.5 m²",2h+kt+kh,"Espoo
    , Painiitty 
 
    , Lotankatu 5 C",Available from 12/1/21
805 €/m,"block of flats, 47 m²",2H+KK,"Espoo
    , Espoonlahti 
 
    , Puosunrinne 6",Available immediately
855 €/m,"block of flats, 33.5 m²",1h+kt,"Espoo
    , Matinkylä 
 
    , Kaisankuja 1",Available from 12/20/21
970 €/m,"block of flats, 47.5 m²",2h+kt,"Espoo
    , Matinkylä 
 
    , Kaisankuja 1",Available from 12/15/21
"1,425 €/m","block of flats, 66 m²",4h+kt,"Espoo
    , Matinkylä 
 
    , Kaisankuja 1",Available from 12/15/21
"1,100 €/m","block of flats, 69 m²",3h+k+kph+lp+s,"Espoo
    , Espoonlahti 
 
    , Amiraalin Puistotie 6 B",Available immediately
640 €/m,"block of flats, 20.5 m²",1h,"Espoo
    , Saunalahti 
 
    , Tiimalasintie 6 A 7",Available immediately
"1,139 €/m","block of flats, 74.5 m²",3h+k+s,"Espoo
    , Rastaspuisto 
 
    , Tähtimötie 2 C",Available from 12/1/21
"1,155 €/m","block of flats, 62 m²",3h+kt,"Espoo
    , Saunalahti 
 
    , Reelinkikatu 5 A",Available on agreement
955 €/m,"block of flats, 59 m²",2H+K,"Espoo
    , Matinkylä 
 
    , Tiistilänkuja 3",Available immediately
984 €/m,"block of flats, 54.5 m²",2H+K+S,"Espoo
    , Espoon keskus 
 
    , Kiltakuja 5",Available immediately
"1,017 €/m","block of flats, 65 m²",2H+K+S,"Espoo
    , Espoon keskus 
 
    , Kiltakuja 1",Available immediately
937 €/m,"block of flats, 49 m²",2H+KK+S,"Espoo
    , Espoon keskus 
 
    , Kiltakuja 1",Available immediately
928 €/m,"block of flats, 48.5 m²",2H+KK,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 25",Available immediately
799 €/m,"block of flats, 27 m²",1h+kk,"Espoo
    , Tapiola 
 
    , Elosalamantie 4 F",Available from 12/1/21
"1,149 €/m","block of flats, 73 m²",3h+k+s,"Espoo
    , Rastaspuisto 
 
    , Tähtimötie 2 A",Available from 12/1/21
898 €/m,"block of flats, 44 m²",2H+KK,"Espoo
    , Espoon keskus 
 
    , Valakuja 8",Available immediately
